artwork_id,bank_name,name,issuer_en,name_en,official_source_url
esun-eztravel,玉山銀行,易遊卡,E.SUN Bank,E. SUN ezTravel Card,https://www.esunbank.com/en/personal/credit-card/intro
esun-starlux-world-elite,玉山銀行,星宇航空聯名卡,E.SUN Bank,E. SUN STARLUX Co-branded Card,https://www.esunbank.com/en/personal/credit-card/intro
esun-kumamon-ku01,玉山銀行,熊本熊卡,E.SUN Bank,E. SUN Kumamon Card,https://www.esunbank.com/en/personal/credit-card/intro
esun-unicard-white,玉山銀行,玉山 Unicard,E.SUN Bank,E.SUN Unicard,https://www.esunbank.com/en/personal/credit-card/intro
,中國信託銀行,中油聯名卡,CTBC Bank,,
,中國信託銀行,foodpanda 聯名卡,CTBC Bank,,
,中國信託銀行,大葉高島屋聯名卡,CTBC Bank,,
,中國信託銀行,漢神百貨聯名卡,CTBC Bank,,
,台新銀行,@GoGo 卡（黑狗卡）,Taishin International Bank,@GoGo card,https://web.taishinbank.com.tw/TSB/export/sites/TSB/files/about-taishin/tsb0639006.pdf
,台新銀行,FlyGo 卡（飛狗卡）,Taishin International Bank,Flygo card,https://www.taishinbank.com.tw/TSB/export/sites/TSB/files/about-taishin/2018Annual-Rrport-English.pdf
,國泰世華銀行,國泰世華 CUBE 卡,Cathay United Bank,CUBE Card,https://www.cathaybk.com.tw/cathaybk/promo/event/ebanking/product/appdownloadEN/index.html
